ID	X	Y	Z
531	422666.6667	390333.3333	1612
532	422833.3333	390333.3333	1596
533	423000	390333.3333	1584
534	423166.6667	390333.3333	1585
535	423333.3333	390333.3333	1587
536	423500	390333.3333	1579
537	423666.6667	390333.3333	1586
538	423833.3333	390333.3333	1593
539	424000	390333.3333	1600
540	424166.6667	390333.3333	1605
541	424333.3333	390333.3333	1620
542	424500	390333.3333	1631
543	424666.6667	390333.3333	1638
544	424833.3333	390333.3333	1668
545	425000	390333.3333	1695
546	425166.6667	390333.3333	1715
547	425333.3333	390333.3333	1731
548	425500	390333.3333	1759
549	425666.6667	390333.3333	1762
550	425833.3333	390333.3333	1844
551	426000	390333.3333	1822
552	426166.6667	390333.3333	1796
553	426333.3333	390333.3333	1804
554	426500	390333.3333	1821
555	426666.6667	390333.3333	1846
556	426833.3333	390333.3333	1888
557	427000	390333.3333	1909
558	427166.6667	390333.3333	1916
559	427333.3333	390333.3333	1945
560	427500	390333.3333	1963
561	427666.6667	390333.3333	2020
562	427833.3333	390333.3333	2096
563	428000	390333.3333	2056
564	428166.6667	390333.3333	2029
565	428333.3333	390333.3333	1954
566	428500	390333.3333	1875
567	428666.6667	390333.3333	1802
568	428833.3333	390333.3333	1798
569	429000	390333.3333	1786
570	429166.6667	390333.3333	1783
571	429333.3333	390333.3333	1790
572	429500	390333.3333	1807
573	429666.6667	390333.3333	1838
574	429833.3333	390333.3333	1991
575	430000	390333.3333	2156
576	430166.6667	390333.3333	2277
577	430333.3333	390333.3333	2288
578	430500	390333.3333	2269
579	430666.6667	390333.3333	2231
580	430833.3333	390333.3333	2186
581	431000	390333.3333	2128
582	431166.6667	390333.3333	2052
583	431333.3333	390333.3333	2007
584	431500	390333.3333	1987
585	431666.6667	390333.3333	1969
586	431833.3333	390333.3333	1956
587	432000	390333.3333	1923
588	432166.6667	390333.3333	1874
589	432333.3333	390333.3333	1832
590	432500	390333.3333	1856
591	432666.6667	390333.3333	1797
592	432833.3333	390333.3333	1708
593	433000	390333.3333	1694
594	433166.6667	390333.3333	1670
595	433333.3333	390333.3333	1669
596	433500	390333.3333	1690
597	433666.6667	390333.3333	1703
598	433833.3333	390333.3333	1774
599	434000	390333.3333	1817
600	434166.6667	390333.3333	1774
601	434333.3333	390333.3333	1719
602	434500	390333.3333	1710
603	434666.6667	390333.3333	1770
604	434833.3333	390333.3333	1846
605	435000	390333.3333	1865
606	435166.6667	390333.3333	1911
607	435333.3333	390333.3333	1918
608	435500	390333.3333	1919
609	435666.6667	390333.3333	1987
610	435833.3333	390333.3333	2189
611	436000	390333.3333	2473
612	436166.6667	390333.3333	2725
613	436333.3333	390333.3333	2703
614	436500	390333.3333	2413
615	436666.6667	390333.3333	2370
616	436833.3333	390333.3333	2593
617	437000	390333.3333	2382
618	437166.6667	390333.3333	2095
619	437333.3333	390333.3333	1903
620	437500	390333.3333	1797
621	437666.6667	390333.3333	1865
622	437833.3333	390333.3333	1996
623	438000	390333.3333	2061
624	438166.6667	390333.3333	2266
625	421000	390166.6667	1519
626	421166.6667	390166.6667	1613
627	421333.3333	390166.6667	1692
628	421500	390166.6667	1730
629	421666.6667	390166.6667	1808
630	421833.3333	390166.6667	1881
631	422000	390166.6667	1975
632	422166.6667	390166.6667	1853
633	422333.3333	390166.6667	1742
634	422500	390166.6667	1660
635	422666.6667	390166.6667	1598
636	422833.3333	390166.6667	1582
637	423000	390166.6667	1582
638	423166.6667	390166.6667	1582
639	423333.3333	390166.6667	1586
640	423500	390166.6667	1600
641	423666.6667	390166.6667	1610
642	423833.3333	390166.6667	1611
643	424000	390166.6667	1629
644	424166.6667	390166.6667	1638
645	424333.3333	390166.6667	1668
646	424500	390166.6667	1691
647	424666.6667	390166.6667	1740
648	424833.3333	390166.6667	1835
649	425000	390166.6667	1884
650	425166.6667	390166.6667	1874
651	425333.3333	390166.6667	1848
652	425500	390166.6667	1884
653	425666.6667	390166.6667	1920
654	425833.3333	390166.6667	1905
655	426000	390166.6667	1874
656	426166.6667	390166.6667	1878
657	426333.3333	390166.6667	1864
658	426500	390166.6667	1901
659	426666.6667	390166.6667	1941
660	426833.3333	390166.6667	1972
661	427000	390166.6667	1999
662	427166.6667	390166.6667	2028
663	427333.3333	390166.6667	2059
664	427500	390166.6667	2077
665	427666.6667	390166.6667	2123
666	427833.3333	390166.6667	2234
667	428000	390166.6667	2153
668	428166.6667	390166.6667	2096
669	428333.3333	390166.6667	2071
670	428500	390166.6667	2021
671	428666.6667	390166.6667	1953
672	428833.3333	390166.6667	1872
673	429000	390166.6667	1836
674	429166.6667	390166.6667	1792
675	429333.3333	390166.6667	1809
676	429500	390166.6667	1824
677	429666.6667	390166.6667	1925
678	429833.3333	390166.6667	2067
679	430000	390166.6667	2241
680	430166.6667	390166.6667	2306
681	430333.3333	390166.6667	2304
682	430500	390166.6667	2249
683	430666.6667	390166.6667	2181
684	430833.3333	390166.6667	2113
685	431000	390166.6667	2059
686	431166.6667	390166.6667	1957
687	431333.3333	390166.6667	1928
688	431500	390166.6667	1955
689	431666.6667	390166.6667	1999
690	431833.3333	390166.6667	1963
691	432000	390166.6667	1906
692	432166.6667	390166.6667	1861
693	432333.3333	390166.6667	1825
694	432500	390166.6667	1800
695	432666.6667	390166.6667	1722
696	432833.3333	390166.6667	1690
697	433000	390166.6667	1689
698	433166.6667	390166.6667	1666
699	433333.3333	390166.6667	1662
700	433500	390166.6667	1676
701	433666.6667	390166.6667	1672
702	433833.3333	390166.6667	1691
703	434000	390166.6667	1782
704	434166.6667	390166.6667	1768
705	434333.3333	390166.6667	1694
706	434500	390166.6667	1669
707	434666.6667	390166.6667	1691
708	434833.3333	390166.6667	1749
709	435000	390166.6667	1793
710	435166.6667	390166.6667	1826
711	435333.3333	390166.6667	1843
712	435500	390166.6667	1831
713	435666.6667	390166.6667	1870
714	435833.3333	390166.6667	2037
715	436000	390166.6667	2236
716	436166.6667	390166.6667	2494
717	436333.3333	390166.6667	2491
718	436500	390166.6667	2185
719	436666.6667	390166.6667	2233
720	436833.3333	390166.6667	2488
721	437000	390166.6667	2316
722	437166.6667	390166.6667	2125
723	437333.3333	390166.6667	1857
724	437500	390166.6667	1747
725	437666.6667	390166.6667	1882
726	437833.3333	390166.6667	2042
727	438000	390166.6667	2159
728	438166.6667	390166.6667	2356
729	421000	390000	1513
730	421166.6667	390000	1566
731	421333.3333	390000	1645
732	421500	390000	1755
733	421666.6667	390000	1944
734	421833.3333	390000	2113
735	422000	390000	2150
736	422166.6667	390000	2076
737	422333.3333	390000	1976
738	422500	390000	1715
739	422666.6667	390000	1655
740	422833.3333	390000	1605
741	423000	390000	1584
742	423166.6667	390000	1585
743	423333.3333	390000	1590
744	423500	390000	1620
745	423666.6667	390000	1645
746	423833.3333	390000	1675
747	424000	390000	1711
748	424166.6667	390000	1766
749	424333.3333	390000	1807
750	424500	390000	1799
751	424666.6667	390000	1877
752	424833.3333	390000	1948
753	425000	390000	2048
754	425166.6667	390000	2020
755	425333.3333	390000	1987
756	425500	390000	2001
757	425666.6667	390000	2010
758	425833.3333	390000	1972
759	426000	390000	1963
760	426166.6667	390000	1943
761	426333.3333	390000	1952
762	426500	390000	1990
763	426666.6667	390000	2049
764	426833.3333	390000	2055
765	427000	390000	2067
766	427166.6667	390000	2097
767	427333.3333	390000	2142
768	427500	390000	2202
769	427666.6667	390000	2224
770	427833.3333	390000	2242
771	428000	390000	2233
772	428166.6667	390000	2206
773	428333.3333	390000	2176
774	428500	390000	2139
775	428666.6667	390000	2117
776	428833.3333	390000	2026
777	429000	390000	2007
778	429166.6667	390000	1904
779	429333.3333	390000	1854
780	429500	390000	1866
781	429666.6667	390000	1911
782	429833.3333	390000	2017
783	430000	390000	2107
784	430166.6667	390000	2165
785	430333.3333	390000	2258
786	430500	390000	2232
787	430666.6667	390000	2142
788	430833.3333	390000	2066
789	431000	390000	1966
790	431166.6667	390000	1776
791	431333.3333	390000	1795
792	431500	390000	1905
793	431666.6667	390000	1992
794	431833.3333	390000	2001
795	432000	390000	1981
796	432166.6667	390000	1907
797	432333.3333	390000	1820
798	432500	390000	1747
799	432666.6667	390000	1693
800	432833.3333	390000	1680
801	433000	390000	1673
802	433166.6667	390000	1661
803	433333.3333	390000	1653
804	433500	390000	1655
805	433666.6667	390000	1659
806	433833.3333	390000	1654
807	434000	390000	1670
808	434166.6667	390000	1671
809	434333.3333	390000	1652
810	434500	390000	1656
811	434666.6667	390000	1656
812	434833.3333	390000	1665
813	435000	390000	1695
814	435166.6667	390000	1729
815	435333.3333	390000	1736
816	435500	390000	1762
817	435666.6667	390000	1820
818	435833.3333	390000	1878
819	436000	390000	1955
820	436166.6667	390000	2013
821	436333.3333	390000	2169
822	436500	390000	2044
823	436666.6667	390000	2285
824	436833.3333	390000	2306
825	437000	390000	2340
826	437166.6667	390000	2206
827	437333.3333	390000	1927
828	437500	390000	1701
829	437666.6667	390000	1747
830	437833.3333	390000	1885
831	438000	390000	2046
832	438166.6667	390000	2280
833	421000	389833.3333	1511
834	421166.6667	389833.3333	1564
835	421333.3333	389833.3333	1688
836	421500	389833.3333	1874
837	421666.6667	389833.3333	2132
838	421833.3333	389833.3333	2453
839	422000	389833.3333	2296
840	422166.6667	389833.3333	2187
841	422333.3333	389833.3333	1979
842	422500	389833.3333	1795
843	422666.6667	389833.3333	1672
844	422833.3333	389833.3333	1617
845	423000	389833.3333	1600
846	423166.6667	389833.3333	1602
847	423333.3333	389833.3333	1635
848	423500	389833.3333	1676
849	423666.6667	389833.3333	1713
850	423833.3333	389833.3333	1847
851	424000	389833.3333	1934
852	424166.6667	389833.3333	1923
853	424333.3333	389833.3333	1989
854	424500	389833.3333	1915
855	424666.6667	389833.3333	1927
856	424833.3333	389833.3333	2085
857	425000	389833.3333	2186
858	425166.6667	389833.3333	2128
859	425333.3333	389833.3333	2089
860	425500	389833.3333	2074
861	425666.6667	389833.3333	2003
862	425833.3333	389833.3333	1959
863	426000	389833.3333	1964
864	426166.6667	389833.3333	1980
865	426333.3333	389833.3333	2004
866	426500	389833.3333	2057
867	426666.6667	389833.3333	2087
868	426833.3333	389833.3333	2113
869	427000	389833.3333	2152
870	427166.6667	389833.3333	2187
871	427333.3333	389833.3333	2239
872	427500	389833.3333	2323
873	427666.6667	389833.3333	2351
874	427833.3333	389833.3333	2341
875	428000	389833.3333	2391
876	428166.6667	389833.3333	2398
877	428333.3333	389833.3333	2371
878	428500	389833.3333	2286
879	428666.6667	389833.3333	2252
880	428833.3333	389833.3333	2217
881	429000	389833.3333	2122
882	429166.6667	389833.3333	1990
883	429333.3333	389833.3333	1918
884	429500	389833.3333	1853
885	429666.6667	389833.3333	1825
886	429833.3333	389833.3333	1847
887	430000	389833.3333	1879
888	430166.6667	389833.3333	1938
889	430333.3333	389833.3333	2034
890	430500	389833.3333	2092
891	430666.6667	389833.3333	2038
892	430833.3333	389833.3333	1953
893	431000	389833.3333	1840
894	431166.6667	389833.3333	1731
895	431333.3333	389833.3333	1795
896	431500	389833.3333	1884
897	431666.6667	389833.3333	1965
898	431833.3333	389833.3333	1938
899	432000	389833.3333	1877
900	432166.6667	389833.3333	1814
901	432333.3333	389833.3333	1741
902	432500	389833.3333	1762
903	432666.6667	389833.3333	1694
904	432833.3333	389833.3333	1663
905	433000	389833.3333	1654
906	433166.6667	389833.3333	1651
907	433333.3333	389833.3333	1649
908	433500	389833.3333	1646
909	433666.6667	389833.3333	1649
910	433833.3333	389833.3333	1645
911	434000	389833.3333	1645
912	434166.6667	389833.3333	1645
913	434333.3333	389833.3333	1645
914	434500	389833.3333	1645
915	434666.6667	389833.3333	1645
916	434833.3333	389833.3333	1645
917	435000	389833.3333	1645
918	435166.6667	389833.3333	1647
919	435333.3333	389833.3333	1657
920	435500	389833.3333	1692
921	435666.6667	389833.3333	1670
922	435833.3333	389833.3333	1670
923	436000	389833.3333	1716
924	436166.6667	389833.3333	1817
925	436333.3333	389833.3333	1905
926	436500	389833.3333	1824
927	436666.6667	389833.3333	1895
928	436833.3333	389833.3333	1891
929	437000	389833.3333	1933
930	437166.6667	389833.3333	1913
931	437333.3333	389833.3333	1765
932	437500	389833.3333	1681
